genres,original_title,director,production_companies
"action,drama,family,thriller",Letters to God,David Nixon,Mercy Creek Entretainment
"action,comedy,thriller",Hobo with a Shotgun,Jason Eisener,"Rhombus Media,Yer Dead Productions,Telefilm Canada,Whizbang Films"
"action,comedy",Compadres,Enrique Begn\u00e9,
"comedy,drama,thriller",Freeway,Matthew Bright,"The Kushner-Locke Company,August Entertainment,Multicom entertainment"
"action,drama,family,tv movie",Love's Abiding Joy,Michael Landon Jr.,
drama,Fish Tank,Andrea Arnold,"BBC Films,Kasander Film Company,ContentFilm,UK Film Council"
"comedy,romance",Damsels in Distress,Whit Stillman,Westerly Films
"horror,science fiction,thriller",Creature,Stuart Gillard,"MGM Television,Trilogy Entertainment Group,Hallmark Entertainment"
"comedy,romance",Bachelorette,Leslye Headland,"Gary Sanchez Productions,BCDF Pictures"
"drama,family,music",Brave New Girl,Bobby Roth,"Lions Gate Television,Park Lane Productions"
comedy,Tim and Eric's Billion Dollar Movie,Tim Heidecker,"2929 Productions,Gary Sanchez Productions,Funny or Die"
"comedy,drama",Sommersturm,Marco Kreuzpaintner,Claussen + Wöbke Filmproduktion GmbH
"drama,history,war",Fort McCoy,Michael Worth,
"horror,thriller",Chain Letter,Deon Taylor,"Tiger Tail Entertainment,Deon Taylor Enterprises"
"comedy,drama",Just Looking,Jason Alexander,"Sweetland Films,Camellia Productions"
science fiction,The Divide,Xavier Gens,"Instinctive Film,Manitoba Film and Video Production Tax Credit,Preferred Content,Julijette,Ink Connection,BR Group,Manitoba Film & Music"
"drama,horror,romance",The Eclipse,Conor McPherson,
"horror,thriller",Demonic,Will Canon,"Icon Entertainment International,Dimension Films,First Point Entertainment,IM Global"
comedy,My Big Fat Independent Movie,Philip Zlotorynski,"Film Threat DVD,Aloha Pictures"
"comedy,family",The Deported,Lance Kawas,
drama,Tanner Hall,Francesca Gregorini,Tax Credit Finance
"action,drama,thriller",Open Road,M\u00e1rcio Garcia,"Society Entertainment,BB Film Productions,Marcio Garcia Producoes"
comedy,They Came Together,David Wain,Lionsgate
comedy,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,Craig Moss,"Silver Nitrate Films,Silver Nitrate Pictures"
"action,drama",Never Back Down 2: The Beatdown,Michael Jai White,
"action,crime,drama,thriller",Point Blank,John Boorman,"Metro-Goldwyn-Mayer (MGM),Winkler Films"
"comedy,drama",Four Single Fathers,Paolo Monico,Indiana Production Company
thriller,Enter the Dangerous Mind,Youssef Delara,"Cimarron Productions,Vedette Finance"
"mystery,thriller",Something Wicked,Darin Scott,Merchant Films
thriller,AWOL-72,Christian Sesma,Triumphant Entertainment
,Iguana,Monte Hellman,
"action,crime,thriller",Chicago Overcoat,Brian Caunter,"Chicago Overcoat Productions,Beverly Ridge Pictures"
"comedy,drama,romance",Barry Munday,Chris D'Arienzo,"Prospect Pictures,Corner Store Entertainment,Far Hills Pictures,Stick 'N' Stone Productions"
drama,Central do Brasil,Walter Salles,"MACT Productions,Videofilms,Riofilm"
"comedy,drama",Pocketful of Miracles,Frank Capra,Franton Production
"action,crime",Close Range,Isaac Florentine,"Bleiberg Entertainment,Compound B,Underdogg Entertainment,Entropy"
"comedy,drama,romance",Boynton Beach Club,,
"drama,horror,mystery,thriller",Amnesiac,Michael Polish,Infra-Red Pictures
documentary,Freakonomics,Heidi Ewing,"Chad Troutwine Films,Green Film Company,Human Worldwide,Loki Films"
"horror,mystery,thriller",Haute tension,Alexandre Aja,"Alexandre Films,EuropaCorp"
"comedy,drama,romance",Griff the Invisible,Leon Ford,Screen Australia
"action,horror,thriller",Unnatural,Hank Braxtan,August Heart Entertainment
drama,Hustle & Flow,Craig Brewer,MTV Films
"comedy,romance",Some Like It Hot,Billy Wilder,"The Mirisch Corporation,Ashton Productions"
"horror,thriller",Friday the 13th Part VII: The New Blood,John Carl Buechler,Paramount Pictures
"adventure,family,fantasy",The Wizard of Oz,Victor Fleming,Loew's Incorporated
"comedy,science fiction",Young Frankenstein,Mel Brooks,"Twentieth Century Fox Film Corporation,Crossbow Productions,Gruskoff/Venture Films,Jouer Limited"
"action,horror,science fiction",Diary of the Dead,George A. Romero,Artfire Films
"comedy,drama,romance",Lage Raho Munna Bhai,Rajkumar Hirani,
drama,Ulee's Gold,Victor Nunez,"Clinica Estetico,Nunez-Gowan"
"adventure,family",The Black Stallion,Carroll Ballard,United Artists
,Sardaarji,Rohit Jugraj,
"action,adventure,animation,comedy,science fiction",Rejsen til Saturn,Kresten Vestbjerg Andersen,"Nordisk Film,A. Film,ntc"
"adventure,comedy,romance",Donovan's Reef,John Ford,Paramount Pictures
"comedy,drama",De jurk,Alex van Warmerdam,
"drama,romance,war",A Guy Named Joe,Victor Fleming,Metro-Goldwyn-Mayer (MGM)
"comedy,western",Blazing Saddles,Mel Brooks,"Crossbow Productions,Warner Bros."
"horror,thriller",Friday the 13th: The Final Chapter,Joseph Zito,"Paramount Pictures,Friday Four, Inc."
drama,Ida,Pawe\u0142 Pawlikowski,"Danish Film Institute,Portobello Pictures,Eurimages,Canal+ Polska,Opus Film,Polski Instytut Sztuki Filmowej,Phoenix Film Investments,City of Lodz,Phoenix Film Poland"
"drama,romance",Maurice,James Ivory,"Merchant Ivory Productions,Film Four International"
comedy,Beer League,Frank Sebastiano,"Identity Films,CKRush Entertainment"
documentary,Riding Giants,Stacy Peralta,
"science fiction,thriller",Los cronocrímenes,Nacho Vigalondo,"Arsénico Producciones,Zip Films,Fine Productions,Karbo Vantas Entertainment"
"action,adventure,comedy,drama",疯狂的赛车,Ning Hao,
"horror,thriller",Timber Falls,Tony Giglio,"Ascendant Pictures,A-Mark Entertainment,Film Tiger,Rifkin-Eberts"
"comedy,music,romance",Singin' in the Rain,Stanley Donen,Metro-Goldwyn-Mayer (MGM)
documentary,"Fat, Sick & Nearly Dead",Joe Cross,
"comedy,horror",A Haunted House,Michael Tiddes,"Endgame Entertainment,Wayans Bros. Entertainment,IM Global,Open Road Films"
documentary,2016: Obama's America,John Sullivan,
"comedy,drama",That Thing You Do!,Tom Hanks,"Twentieth Century Fox Film Corporation,Clinica Estetico,Clavius Base"
"horror,mystery,science fiction",Halloween III: Season of the Witch,Tommy Lee Wallace,Universal Pictures
"action,science fiction",Escape from the Planet of the Apes,Don Taylor,"Twentieth Century Fox Film Corporation,APJAC Productions"
"action,drama,western",Hud,Martin Ritt,Paramount Pictures
"comedy,documentary",Kevin Hart: Let Me Explain,Leslie Small,Hartbeat Productions
"drama,romance",My Own Private Idaho,Gus Van Sant,Fine Line Features
"comedy,drama,romance",Garden State,Zach Braff,"Fox Searchlight Pictures,Double Feature Films,Jersey Films,Camelot Pictures,Large's Ark Productions"
"drama,romance",Before Sunrise,Richard Linklater,Detour Film Production
"horror,mystery,thriller",Sur le seuil,\u00c9ric Tessier,Go Films
"comedy,drama,romance",Jesus' Son,Alison Maclean,Evenstar Films
"comedy,romance",Saving Face,Alice Wu,
drama,Brick Lane,Sarah Gavron,"Ingenious Film Partners,Ruby Films,Film4"
"comedy,crime,drama,science fiction",Robot & Frank,Jake Schreier,"Samuel Goldwyn Films,Stage 6 Films,Park Pictures,TBB,Dog Run Pictures,White Hat"
"drama,romance",My Life Without Me,Isabel Coixet,"El Deseo,Milestone Productions"
"comedy,drama,romance",The Spectacular Now,James Ponsoldt,"21 Laps Entertainment,Andrew Lauren Productions (ALP),Global Produce,A24"
"comedy,documentary",Religulous,Larry Charles,Lions Gate Films
"documentary,drama",Fuel,Joshua Tickell,
drama,Valley of the Heart's Delight,Tim Boxell,
drama,Eye of the Dolphin,Michael D. Sellers,"Gold/Miller Productions,120dB Films,Paradise Productions,Quantum Entertainment,MovieBank,Galaxy Productions"
documentary,8: The Mormon Proposition,Reed Cowan,
"comedy,romance",The Other End of the Line,James Dodson,"Adlabs Films Ltd.,Metro-Goldwyn-Mayer Pictures,Hyde Park Entertainment,Brass Hat Films"
"horror,thriller",Anatomie,Stefan Ruzowitzky,Claussen + Wöbke Filmproduktion GmbH
"drama,science fiction,thriller",Sleep Dealer,Alex Rivera,Likely Story
"action,comedy,drama",Super,James Gunn,"This Is That Productions,Ambush Entertainment,Crimson Bolt"
"comedy,family",Christmas Mail,John Murlowski,
"comedy,horror",Stung,Benni Diez,"Rat Pack Filmproduktion,XYZ Films"
horror,Antibirth,Danny Perez,"Hideaway Pictures,Traverse Media,Culmination Productions"
drama,Get on the Bus,Spike Lee,"Columbia Pictures,40 Acres & A Mule Filmworks"
"drama,horror,thriller",Thr3e,Robby Henson,MovieRoom Productions
"adventure,comedy,science fiction",Idiocracy,Mike Judge,"Twentieth Century Fox Film Corporation,Ternion Pictures"
crime,The Rise of the Krays,Zackary Adler,"Carnaby International,Saracen Films,Torn Pictures"
"crime,drama",This Is England,Shane Meadows,"EM Media,UK Film Council,Screen Yorkshire,Big Arty Productions"
"action,adventure,science fiction",U.F.O.,Dominic Burns,"Hawthorn Productions,Hawthorne Productions"
"comedy,music",Bathing Beauty,George Sidney,Metro-Goldwyn-Mayer (MGM)
"drama,family",Go for It!,Carmen Marron,Pantelion Film
"comedy,drama,family","Dancer, Texas Pop. 81",Tim McCanlies,"HSX Films,Chase Productions"
"music,romance",Show Boat,George Sidney,Metro-Goldwyn-Mayer (MGM)
drama,Redemption Road,Mario Van Peebles,"Heavy Duty Entertainment,MVP Films,Liberty Road Entertainment"
thriller,The Calling,Jason Stone,"Darius Films,Manis Film,Breaking Ball Films,Stage 6 Films"
"adventure,animation,comedy,family,fantasy",The Brave Little Toaster,Jerry Rees,"The Kushner-Locke Company,Hyperion Pictures"
"animation,family,music",Fantasia,David Hand,Walt Disney Pictures
"drama,thriller",8 Days,Jaco Booyens,After Eden Pictures
"horror,thriller",Friday the 13th Part III,Steve Miner,"Paramount Pictures,Jason Productions"
"horror,thriller",Friday the 13th: A New Beginning,Danny Steinmann,"Paramount Pictures,Georgetown Productions Inc."
drama,The Last Sin Eater,Michael Landon Jr.,
"drama,fantasy",Do You Believe?,Jon Gunn,"Believe Entertainment,Pure Flix Entertainment,Toy Gun Films,10 West Studios"
"romance,thriller",Impact Point,Hayley Cloake,
drama,The Valley of Decision,Tay Garnett,Metro-Goldwyn-Mayer (MGM)
"drama,thriller",Eden,Shyam Madiraju,"Ombra Films,Perlapartment Pictures,Gobsmack,H&H Creative Ventures"
"comedy,romance",Chicken Tikka Masala,Harmage Singh Kalirai,
"comedy,music,romance",There's Always Woodstock,Rita Merson,Sunrise Films
"action,comedy,horror",Jack Brooks: Monster Slayer,Jon Knautz,"Brookstreet Pictures,Sound Venture Productions"
"drama,history,romance",The Best Years of Our Lives,William Wyler,"Samuel Goldwyn Company, The"
"crime,drama",Bully,Larry Clark,StudioCanal
"comedy,drama",Elling,Petter N\u00e6ss,Maipo Film- og TV Produksjon
"crime,drama",Mi America,Robert Fontaine,Industrial House Films
"horror,mystery",[REC],Jaume Balaguer\u00f3,Filmax
"drama,mystery,thriller",Lies in Plain Sight,Patricia Cardoso,
,Sharkskin,,
"horror,science fiction,thriller",Containment,Neil Mcenery-West,"Bright Cold Day Films,Patchwork Productions,Bandoola Productions"
"adventure,drama,western",The Timber,Anthony O'Brien,ANA Media
"action,adventure,thriller",From Russia with Love,Terence Young,"United Artists,Eon Productions,Danjaq"
"action,comedy,horror",The Toxic Avenger Part II,Lloyd Kaufman,Troma Entertainment
"comedy,romance,science fiction",Sleeper,Woody Allen,Rollins-Joffe Productions
"horror,thriller",It Follows,David Robert Mitchell,"Northern Lights Films,Animal Kingdom,Two Flints"
comedy,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Woody Allen,United Artists
"crime,drama",To Kill a Mockingbird,Robert Mulligan,Universal Pictures
"action,adventure,science fiction,thriller",Mad Max 2,George Miller,Kennedy Miller Productions
"action,comedy",醉拳二,Liu Chia-Liang,"Paragon Films Ltd.,Golden Harvest Company Ltd."
"crime,drama",Boys Don't Cry,Kimberly Peirce,"Fox Searchlight Pictures,The Independent Film Channel Productions,IFC Films,Killer Films,Hart-Sharp Entertainment"
"horror,mystery",Silent House,Chris Kentis,"Elle Driver,Tazora Films"
"drama,thriller",Das Leben der Anderen,Florian Henckel von Donnersmarck,"Arte,Wiedemann & Berg Filmproduktion,Creado Film,Bayerischer Rundfunk (BR)"
drama,Courageous,Alex Kendrick,"TriStar Pictures,Provident Films,Affirm Films,Sherwood Pictures,Alabama Production Group"
drama,The Hustler,Robert Rossen,"Twentieth Century Fox Film Corporation,Rossen Films"
"adventure,drama,romance",Boom Town,Jack Conway,Metro-Goldwyn-Mayer (MGM)
"adventure,animation,comedy,drama",Les triplettes de Belleville,Sylvain Chomet,"Sony Pictures Classics,Production Champion,Vivi Film"
"comedy,drama",Smoke Signals,Chris Eyre,"Miramax Films,ShadowCatcher Entertainment"
"comedy,drama",American Splendor,Shari Springer Berman,
"drama,romance",Before Sunset,Richard Linklater,"Castle Rock Entertainment,Detour Film Production,Warner Independent Pictures (WIP)"
"drama,thriller",Amores perros,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,"Altavista Films,Zeta Film"
"crime,drama",Thirteen,Catherine Hardwicke,"Fox Searchlight Pictures,Sound for Film,Working Title Films,Antidote Films (I)"
"drama,romance",Gentleman's Agreement,Elia Kazan,Twentieth Century Fox Film Corporation
drama,Winter's Bone,Debra Granik,"Anonymous Content,Winter's Bone Productions"
"action,adventure,documentary",Touching the Void,Kevin Macdonald,"Darlow Smithson Productions,UK Film Council,PBS,Film4"
"drama,music,romance",Alexander's Ragtime Band,Henry King,Twentieth Century Fox Film Corporation
"comedy,drama",Me and You and Everyone We Know,Miranda July,IFC Films
documentary,Inside Job,Charles Ferguson,"Sony Pictures Classics,Sony Pictures Home Entertainment"
"drama,music,romance",We Are Your Friends,Max Joseph,Working Title Films
"crime,drama",Ghost Dog: The Way of the Samurai,Jim Jarmusch,"Bac Films,Pandora Filmproduktion,Degeto Film,ARD,JVC Entertainment Networks,Canal+,Plywood Productions"
"action,crime,drama,thriller",Harsh Times,David Ayer,The Weinstein Company
"crime,drama,thriller",Captive,Jerry Jameson,"Itaca Films,BN Films,Brightside Entertainment,1019 Entertainment,Yoruba Saxon Productions"
"comedy,drama,romance",Full Frontal,Steven Soderbergh,"Miramax Films,Populist Pictures,Monophonic Inc."
horror,Witchboard,Kevin Tenney,
"comedy,drama,romance",Shortbus,John Cameron Mitchell,"Fortissimo Films,Process Productions,Q Television"
"animation,drama,war",Vals Im Bashir,Ari Folman,"Les Films d'Ici,Bridgit Folman Film Gang,Razor Film Produktion"
,"The Book of Mormon Movie, Volume 1: The Journey",,
documentary,No End in Sight,Charles Ferguson,
"drama,romance",The Diary of a Teenage Girl,Marielle Heller,"Caviar Films,Cold Iron Pictures,Archer Gray"
documentary,In the Shadow of the Moon,David Sington,"Film4,Passion Pictures,Discovery Films"
"drama,western",Meek's Cutoff,Kelly Reichardt,"Film Science,Evenstar Films,Oscilloscope Laboratories"
"documentary,history",Inside Deep Throat,Fenton Bailey,
"action,drama,thriller",Dinner Rush,Bob Giraldi,"Access Motion Picture Group,Giraldi-Suarez-DiGiaimo Productions"
"comedy,drama",Clockwatchers,Jill Sprecher,
comedy,The Virginity Hit,Huck Botko,"Gary Sanchez Productions,Principato-Young Entertainment"
"action,thriller",Subway,Luc Besson,Gaumont
"comedy,drama",House of D,David Duchovny,"Tribeca Productions,Bob Yari Productions,Southpaw Entertainment,Jeff Skoll Productions"
"comedy,horror",Teeth,Mitchell Lichtenstein,Teeth
"action,adventure,science fiction",Six-String Samurai,Lance Mungia,HSX Films
,Hum To Mohabbat Karega,,
"comedy,drama,music",It's All Gone Pete Tong,Michael Dowse,
comedy,Saint John of Las Vegas,Hue Rhodes,
"comedy,drama,romance",24 7: Twenty Four Seven,Shane Meadows,Scala Films
drama,Stonewall,Roland Emmerich,"Centropolis Entertainment,Mel's Cite du Cinema"
"animation,family",Roadside Romeo,,"Walt Disney Pictures,Yash Raj Films,Walt Disney Studios Motion Pictures,Disney World Cinema"
"action,drama,thriller",This Thing of Ours,Danny Provenzano,
"adventure,family",The Lost Medallion: The Adventures of Billy Stone,Bill Muir,Kaos Entertainment
"comedy,drama,music,romance",The Last Five Years,Richard LaGravenese,"Lucky Monkey Pictures,Sh-K-Boom Records,Grand Peaks Entertainment,Radius-TWC"
"comedy,drama,mystery,thriller",The Missing Person,Noah Buschel,"Strand Releasing,The 7th Floor,Apropos Films"
"comedy,horror,romance,science fiction",Return of the Living Dead 3,Brian Yuzna,Ozla Productions
"action,drama,romance",London,Hunter Richards,"Destination Films,Silver Nitrate Films,National Film and Television School (NFTS),LHR Productions Inc."
drama,Sherrybaby,Laurie Collyer,Red Envelope Entertainment
"horror,science fiction",Circle,Aaron Hann,"Votiv Films,Taggart Productions"
"horror,thriller",Eden Lake,James Watkins,"Aramid Entertainment Fund,Rollercoaster Films"
thriller,Plush,Catherine Hardwicke,"Blumhouse Productions,IM Global Octane,Reliance"
"comedy,horror",Lesbian Vampire Killers,Phil Claydon,AV Pictures
"action,crime,drama",Jerusalema,Ralph Ziman,Muti Films
"crime,drama,thriller",Freeze Frame,John Simpson,
"horror,thriller",Grave Encounters,Colin Minihan,"Darclight,Twin Engine Films,Digital Interference Productions"
